barcode	reads	process
barcode02	290	cutadapt
barcode03	279	cutadapt
barcode04	302	cutadapt
barcode05	317	cutadapt
barcode06	303	cutadapt
barcode07	325	cutadapt
barcode08	397	cutadapt
barcode09	277	cutadapt
barcode10	311	cutadapt
barcode11	339	cutadapt
barcode12	197	cutadapt
barcode13	339	cutadapt
barcode14	317	cutadapt
barcode15	272	cutadapt
barcode16	288	cutadapt
barcode17	272	cutadapt
barcode18	252	cutadapt
barcode20	446	cutadapt
barcode21	278	cutadapt
barcode22	238	cutadapt
barcode23	270	cutadapt
barcode24	216	cutadapt
barcode25	320	cutadapt
barcode26	291	cutadapt
barcode27	311	cutadapt
barcode28	291	cutadapt
barcode29	224	cutadapt
barcode31	207	cutadapt
barcode32	326	cutadapt
barcode33	220	cutadapt
barcode35	282	cutadapt
barcode36	253	cutadapt
barcode37	311	cutadapt
barcode38	293	cutadapt
barcode39	270	cutadapt
barcode40	290	cutadapt
barcode41	182	cutadapt
barcode42	233	cutadapt
barcode45	184	cutadapt
barcode46	143	cutadapt
barcode47	270	cutadapt
barcode49	272	cutadapt
barcode50	343	cutadapt
barcode51	263	cutadapt
barcode52	350	cutadapt
barcode53	215	cutadapt
barcode54	201	cutadapt
barcode55	247	cutadapt
barcode56	411	cutadapt
barcode57	209	cutadapt
barcode58	150	cutadapt
barcode59	223	cutadapt
barcode60	368	cutadapt
barcode61	255	cutadapt
barcode62	264	cutadapt
barcode63	351	cutadapt
barcode64	334	cutadapt
barcode65	203	cutadapt
barcode66	197	cutadapt
barcode67	251	cutadapt
barcode69	217	cutadapt
barcode70	155	cutadapt
barcode72	1	cutadapt
barcode74	1	cutadapt
barcode75	1	cutadapt
barcode76	370	cutadapt
barcode77	244	cutadapt
barcode78	120	cutadapt
barcode79	326	cutadapt
barcode80	1	cutadapt
barcode81	115	cutadapt
barcode82	116	cutadapt
barcode83	149	cutadapt
barcode84	2	cutadapt
barcode85	1	cutadapt
barcode89	222	cutadapt
barcode90	281	cutadapt
barcode91	266	cutadapt
barcode93	172	cutadapt
barcode95	258	cutadapt
unclassified	4136	cutadapt
