barcode	reads
barcode01	157
barcode02	145
barcode03	140
barcode04	151
barcode05	159
barcode06	152
barcode07	163
barcode08	199
barcode09	139
barcode10	156
barcode11	170
barcode12	99
barcode13	170
barcode14	159
barcode15	136
barcode16	144
barcode17	136
barcode18	126
barcode20	223
barcode21	139
barcode22	119
barcode23	135
barcode24	108
barcode25	160
barcode26	146
barcode27	156
barcode28	146
barcode29	112
barcode31	104
barcode32	163
barcode33	110
barcode35	141
barcode36	127
barcode37	156
barcode38	147
barcode39	135
barcode40	145
barcode41	91
barcode42	117
barcode45	92
barcode46	72
barcode47	135
barcode49	136
barcode50	172
barcode51	132
barcode52	175
barcode53	108
barcode54	101
barcode55	124
barcode56	206
barcode57	105
barcode58	75
barcode59	111
barcode60	184
barcode61	128
barcode62	132
barcode63	176
barcode64	167
barcode65	102
barcode66	99
barcode67	126
barcode69	109
barcode70	78
barcode72	1
barcode74	1
barcode75	1
barcode76	185
barcode77	122
barcode78	60
barcode79	163
barcode80	1
barcode81	58
barcode82	58
barcode83	75
barcode84	1
barcode85	1
barcode89	111
barcode90	141
barcode91	133
barcode93	86
barcode95	129
unclassified	2068
