barcode	reads	process
barcode01	157	mapping
barcode02	145	mapping
barcode03	140	mapping
barcode04	151	mapping
barcode05	159	mapping
barcode06	152	mapping
barcode07	163	mapping
barcode08	199	mapping
barcode09	139	mapping
barcode10	156	mapping
barcode11	170	mapping
barcode12	99	mapping
barcode13	170	mapping
barcode14	159	mapping
barcode15	136	mapping
barcode16	144	mapping
barcode17	136	mapping
barcode18	126	mapping
barcode20	223	mapping
barcode21	139	mapping
barcode22	119	mapping
barcode23	135	mapping
barcode24	108	mapping
barcode25	160	mapping
barcode26	146	mapping
barcode27	156	mapping
barcode28	146	mapping
barcode29	112	mapping
barcode31	104	mapping
barcode32	163	mapping
barcode33	110	mapping
barcode35	141	mapping
barcode36	127	mapping
barcode37	156	mapping
barcode38	147	mapping
barcode39	135	mapping
barcode40	145	mapping
barcode41	91	mapping
barcode42	117	mapping
barcode45	92	mapping
barcode46	72	mapping
barcode47	135	mapping
barcode49	136	mapping
barcode50	172	mapping
barcode51	132	mapping
barcode52	175	mapping
barcode53	108	mapping
barcode54	101	mapping
barcode55	124	mapping
barcode56	206	mapping
barcode57	105	mapping
barcode58	75	mapping
barcode59	111	mapping
barcode60	184	mapping
barcode61	128	mapping
barcode62	132	mapping
barcode63	176	mapping
barcode64	167	mapping
barcode65	102	mapping
barcode66	99	mapping
barcode67	126	mapping
barcode69	109	mapping
barcode70	78	mapping
barcode72	1	mapping
barcode74	1	mapping
barcode75	1	mapping
barcode76	185	mapping
barcode77	122	mapping
barcode78	60	mapping
barcode79	163	mapping
barcode80	1	mapping
barcode81	58	mapping
barcode82	58	mapping
barcode83	75	mapping
barcode84	1	mapping
barcode85	1	mapping
barcode89	111	mapping
barcode90	141	mapping
barcode91	133	mapping
barcode93	86	mapping
barcode95	129	mapping
unclassified	2068	mapping
