barcode	reads	process
barcode01	313	barcode
barcode02	290	barcode
barcode03	279	barcode
barcode04	302	barcode
barcode05	317	barcode
barcode06	303	barcode
barcode07	325	barcode
barcode08	397	barcode
barcode09	277	barcode
barcode10	311	barcode
barcode11	339	barcode
barcode12	197	barcode
barcode13	339	barcode
barcode14	317	barcode
barcode15	272	barcode
barcode16	288	barcode
barcode17	272	barcode
barcode18	252	barcode
barcode20	446	barcode
barcode21	278	barcode
barcode22	238	barcode
barcode23	270	barcode
barcode24	216	barcode
barcode25	320	barcode
barcode26	291	barcode
barcode27	311	barcode
barcode28	291	barcode
barcode29	224	barcode
barcode31	207	barcode
barcode32	326	barcode
barcode33	220	barcode
barcode35	282	barcode
barcode36	253	barcode
barcode37	311	barcode
barcode38	293	barcode
barcode39	270	barcode
barcode40	290	barcode
barcode41	182	barcode
barcode42	233	barcode
barcode45	184	barcode
barcode46	143	barcode
barcode47	270	barcode
barcode49	272	barcode
barcode50	343	barcode
barcode51	263	barcode
barcode52	350	barcode
barcode53	215	barcode
barcode54	201	barcode
barcode55	247	barcode
barcode56	411	barcode
barcode57	209	barcode
barcode58	150	barcode
barcode59	223	barcode
barcode60	368	barcode
barcode61	255	barcode
barcode62	264	barcode
barcode63	351	barcode
barcode64	334	barcode
barcode65	203	barcode
barcode66	197	barcode
barcode67	251	barcode
barcode69	217	barcode
barcode70	155	barcode
barcode72	1	barcode
barcode74	1	barcode
barcode75	1	barcode
barcode76	370	barcode
barcode77	244	barcode
barcode78	120	barcode
barcode79	326	barcode
barcode80	1	barcode
barcode81	115	barcode
barcode82	116	barcode
barcode83	149	barcode
barcode84	2	barcode
barcode85	1	barcode
barcode89	222	barcode
barcode90	281	barcode
barcode91	266	barcode
barcode93	172	barcode
barcode95	258	barcode
unclassified	4136	barcode
barcode01	313	cutadapt
barcode02	290	cutadapt
barcode03	279	cutadapt
barcode04	302	cutadapt
barcode05	317	cutadapt
barcode06	303	cutadapt
barcode07	325	cutadapt
barcode08	397	cutadapt
barcode09	277	cutadapt
barcode10	311	cutadapt
barcode11	339	cutadapt
barcode12	197	cutadapt
barcode13	339	cutadapt
barcode14	317	cutadapt
barcode15	272	cutadapt
barcode16	288	cutadapt
barcode17	272	cutadapt
barcode18	252	cutadapt
barcode20	446	cutadapt
barcode21	278	cutadapt
barcode22	238	cutadapt
barcode23	270	cutadapt
barcode24	216	cutadapt
barcode25	320	cutadapt
barcode26	291	cutadapt
barcode27	311	cutadapt
barcode28	291	cutadapt
barcode29	224	cutadapt
barcode31	207	cutadapt
barcode32	326	cutadapt
barcode33	220	cutadapt
barcode35	282	cutadapt
barcode36	253	cutadapt
barcode37	311	cutadapt
barcode38	293	cutadapt
barcode39	270	cutadapt
barcode40	290	cutadapt
barcode41	182	cutadapt
barcode42	233	cutadapt
barcode45	184	cutadapt
barcode46	143	cutadapt
barcode47	270	cutadapt
barcode49	272	cutadapt
barcode50	343	cutadapt
barcode51	263	cutadapt
barcode52	350	cutadapt
barcode53	215	cutadapt
barcode54	201	cutadapt
barcode55	247	cutadapt
barcode56	411	cutadapt
barcode57	209	cutadapt
barcode58	150	cutadapt
barcode59	223	cutadapt
barcode60	368	cutadapt
barcode61	255	cutadapt
barcode62	264	cutadapt
barcode63	351	cutadapt
barcode64	334	cutadapt
barcode65	203	cutadapt
barcode66	197	cutadapt
barcode67	251	cutadapt
barcode69	217	cutadapt
barcode70	155	cutadapt
barcode72	1	cutadapt
barcode74	1	cutadapt
barcode75	1	cutadapt
barcode76	370	cutadapt
barcode77	244	cutadapt
barcode78	120	cutadapt
barcode79	326	cutadapt
barcode80	1	cutadapt
barcode81	115	cutadapt
barcode82	116	cutadapt
barcode83	149	cutadapt
barcode84	2	cutadapt
barcode85	1	cutadapt
barcode89	222	cutadapt
barcode90	281	cutadapt
barcode91	266	cutadapt
barcode93	172	cutadapt
barcode95	258	cutadapt
unclassified	4136	cutadapt
barcode01	313	filtering
barcode02	290	filtering
barcode03	279	filtering
barcode04	301	filtering
barcode05	317	filtering
barcode06	303	filtering
barcode07	325	filtering
barcode08	397	filtering
barcode09	277	filtering
barcode10	311	filtering
barcode11	339	filtering
barcode12	197	filtering
barcode13	339	filtering
barcode14	317	filtering
barcode15	272	filtering
barcode16	288	filtering
barcode17	272	filtering
barcode18	252	filtering
barcode20	446	filtering
barcode21	278	filtering
barcode22	238	filtering
barcode23	270	filtering
barcode24	216	filtering
barcode25	320	filtering
barcode26	291	filtering
barcode27	311	filtering
barcode28	291	filtering
barcode29	224	filtering
barcode31	207	filtering
barcode32	326	filtering
barcode33	220	filtering
barcode35	282	filtering
barcode36	253	filtering
barcode37	311	filtering
barcode38	293	filtering
barcode39	270	filtering
barcode40	290	filtering
barcode41	182	filtering
barcode42	233	filtering
barcode45	184	filtering
barcode46	143	filtering
barcode47	270	filtering
barcode49	272	filtering
barcode50	343	filtering
barcode51	263	filtering
barcode52	350	filtering
barcode53	215	filtering
barcode54	201	filtering
barcode55	247	filtering
barcode56	411	filtering
barcode57	209	filtering
barcode58	150	filtering
barcode59	222	filtering
barcode60	368	filtering
barcode61	255	filtering
barcode62	264	filtering
barcode63	351	filtering
barcode64	334	filtering
barcode65	203	filtering
barcode66	197	filtering
barcode67	251	filtering
barcode69	217	filtering
barcode70	155	filtering
barcode72	1	filtering
barcode74	1	filtering
barcode75	1	filtering
barcode76	370	filtering
barcode77	244	filtering
barcode78	120	filtering
barcode79	326	filtering
barcode80	1	filtering
barcode81	115	filtering
barcode82	116	filtering
barcode83	149	filtering
barcode84	2	filtering
barcode85	1	filtering
barcode89	222	filtering
barcode90	281	filtering
barcode91	266	filtering
barcode93	172	filtering
barcode95	258	filtering
unclassified	4135	filtering
barcode01	157	mapping
barcode02	145	mapping
barcode03	140	mapping
barcode04	151	mapping
barcode05	159	mapping
barcode06	152	mapping
barcode07	163	mapping
barcode08	199	mapping
barcode09	139	mapping
barcode10	156	mapping
barcode11	170	mapping
barcode12	99	mapping
barcode13	170	mapping
barcode14	159	mapping
barcode15	136	mapping
barcode16	144	mapping
barcode17	136	mapping
barcode18	126	mapping
barcode20	223	mapping
barcode21	139	mapping
barcode22	119	mapping
barcode23	135	mapping
barcode24	108	mapping
barcode25	160	mapping
barcode26	146	mapping
barcode27	156	mapping
barcode28	146	mapping
barcode29	112	mapping
barcode31	104	mapping
barcode32	163	mapping
barcode33	110	mapping
barcode35	141	mapping
barcode36	127	mapping
barcode37	156	mapping
barcode38	147	mapping
barcode39	135	mapping
barcode40	145	mapping
barcode41	91	mapping
barcode42	117	mapping
barcode45	92	mapping
barcode46	72	mapping
barcode47	135	mapping
barcode49	136	mapping
barcode50	172	mapping
barcode51	132	mapping
barcode52	175	mapping
barcode53	108	mapping
barcode54	101	mapping
barcode55	124	mapping
barcode56	206	mapping
barcode57	105	mapping
barcode58	75	mapping
barcode59	111	mapping
barcode60	184	mapping
barcode61	128	mapping
barcode62	132	mapping
barcode63	176	mapping
barcode64	167	mapping
barcode65	102	mapping
barcode66	99	mapping
barcode67	126	mapping
barcode69	109	mapping
barcode70	78	mapping
barcode72	1	mapping
barcode74	1	mapping
barcode75	1	mapping
barcode76	185	mapping
barcode77	122	mapping
barcode78	60	mapping
barcode79	163	mapping
barcode80	1	mapping
barcode81	58	mapping
barcode82	58	mapping
barcode83	75	mapping
barcode84	1	mapping
barcode85	1	mapping
barcode89	111	mapping
barcode90	141	mapping
barcode91	133	mapping
barcode93	86	mapping
barcode95	129	mapping
unclassified	2068	mapping
