barcode	reads	process
barcode01	314	mapping
barcode02	291	mapping
barcode03	280	mapping
barcode04	302	mapping
barcode05	318	mapping
barcode06	304	mapping
barcode07	326	mapping
barcode08	398	mapping
barcode09	278	mapping
barcode10	312	mapping
barcode11	340	mapping
barcode12	198	mapping
barcode13	340	mapping
barcode14	318	mapping
barcode15	273	mapping
barcode16	289	mapping
barcode17	273	mapping
barcode18	253	mapping
barcode20	447	mapping
barcode21	279	mapping
barcode22	239	mapping
barcode23	271	mapping
barcode24	217	mapping
barcode25	321	mapping
barcode26	292	mapping
barcode27	312	mapping
barcode28	292	mapping
barcode29	225	mapping
barcode31	208	mapping
barcode32	327	mapping
barcode33	221	mapping
barcode35	283	mapping
barcode36	254	mapping
barcode37	312	mapping
barcode38	294	mapping
barcode39	271	mapping
barcode40	291	mapping
barcode41	183	mapping
barcode42	234	mapping
barcode45	185	mapping
barcode46	144	mapping
barcode47	271	mapping
barcode49	273	mapping
barcode50	344	mapping
barcode51	264	mapping
barcode52	351	mapping
barcode53	216	mapping
barcode54	202	mapping
barcode55	248	mapping
barcode56	412	mapping
barcode57	210	mapping
barcode58	151	mapping
barcode59	223	mapping
barcode60	369	mapping
barcode61	256	mapping
barcode62	265	mapping
barcode63	352	mapping
barcode64	335	mapping
barcode65	204	mapping
barcode66	198	mapping
barcode67	252	mapping
barcode69	218	mapping
barcode70	156	mapping
barcode72	2	mapping
barcode74	2	mapping
barcode75	2	mapping
barcode76	371	mapping
barcode77	245	mapping
barcode78	121	mapping
barcode79	327	mapping
barcode80	2	mapping
barcode81	116	mapping
barcode82	117	mapping
barcode83	150	mapping
barcode84	3	mapping
barcode85	2	mapping
barcode89	223	mapping
barcode90	282	mapping
barcode91	267	mapping
barcode93	173	mapping
barcode95	259	mapping
unclassified	4136	mapping
