barcode	cluster_id	read_id
*	19562	100418
*	19562	100418
*	19562	100418
*	20661	100452
*	20661	100452
*	20661	100452
*	20645	100468
*	20645	100468
*	20645	100468
*	19126	100629
*	19126	100629
*	19126	100629
*	14111	100642
*	19185	100683
*	19185	100683
*	19185	100683
*	18950	100900
*	18950	100900
*	18950	100900
*	18943	101257
*	18943	101257
*	18943	101257
*	20444	101296
*	20444	101296
*	20444	101296
*	18759	102042
*	18759	102042
*	18759	102042
*	18515	102110
*	18515	102110
*	18515	102110
*	9793	102152
*	7065	102157
*	11772	102179
*	11772	102179
*	11772	102179
*	4065	102189
*	4065	102189
*	20447	102219
*	20447	102219
*	20447	102219
*	17952	102335
*	17952	102335
*	17952	102335
*	20006	102348
*	20006	102348
*	20006	102348
*	20139	102370
*	20139	102370
*	20139	102370
*	20570	102395
*	20570	102395
*	20570	102395
*	10477	102479
*	16652	103328
*	16450	103376
*	16450	103376
*	14142	103426
*	20353	103769
*	20353	103769
*	20353	103769
*	19856	103824
*	19856	103824
*	19856	103824
*	20089	103826
*	20089	103826
*	20089	103826
*	19297	104241
*	19297	104241
*	19297	104241
*	17751	104337
*	17751	104337
*	17751	104337
*	18383	104393
*	18383	104393
*	18383	104393
*	3827	104526
*	3827	104526
*	19740	104544
*	19740	104544
*	19740	104544
*	19577	104608
*	19577	104608
*	19577	104608
*	19510	104803
*	19510	104803
*	19510	104803
*	1573	104813
*	1573	104813
*	1573	104813
*	18356	104847
*	18356	104847
*	18356	104847
*	13214	104869
*	13214	104869
*	13214	104869
*	2298	104877
*	12133	104921
*	12133	104921
*	12133	104921
*	18640	105057
*	18640	105057
*	18640	105057
*	14924	105087
*	14459	105351
*	19743	105534
*	19743	105534
*	19743	105534
*	12708	105574
*	12708	105574
*	20262	105575
*	20262	105575
*	20262	105575
*	18634	10593
*	18634	10593
*	18634	10593
*	5838	107185
*	18302	107239
*	18302	107239
*	18302	107239
*	8159	107571
*	8159	107571
*	8159	107571
*	18815	107573
*	18815	107573
*	18815	107573
*	11938	107597
*	11938	107597
*	15732	107679
*	20637	108034
*	20637	108034
*	20637	108034
*	17088	108047
*	17088	108047
*	17088	108047
*	12814	108265
*	12814	108265
*	18122	108269
*	12272	108340
*	12272	108340
*	12272	108340
*	5580	108370
*	17387	108376
*	17387	108376
*	17387	108376
*	5592	109212
*	19631	109214
*	19631	109214
*	19631	109214
*	8179	109246
*	8179	109246
*	8179	109246
*	17566	109260
*	17566	109260
*	17566	109260
*	20591	109291
*	20591	109291
*	20591	109291
*	12163	109514
*	12163	109514
*	16585	109522
*	16585	109522
*	5661	109831
*	11502	109904
*	11502	109904
*	11502	109904
*	9687	110000
*	5224	110022
*	5224	110022
*	13272	110028
*	13272	110028
*	13272	110028
*	17478	110036
*	17478	110036
*	17478	110036
*	19201	110068
*	19201	110068
*	19201	110068
*	17597	110625
*	17597	110625
*	17597	110625
*	6413	110826
*	17896	110901
*	17896	110901
*	17896	110901
*	18233	110911
*	18233	110911
*	18233	110911
*	18596	110964
*	18596	110964
*	18596	110964
*	18894	110980
*	18894	110980
*	18894	110980
*	1671	111395
*	1671	111395
*	1671	111395
*	18655	111474
*	18655	111474
*	18655	111474
*	3816	111504
*	3816	111504
*	4762	111532
*	4762	111532
*	13376	111604
*	13376	111604
*	15940	111644
*	12490	111686
*	12490	111686
*	1465	111724
*	1465	111724
*	1465	111724
*	11318	113579
*	18238	113630
*	18238	113630
*	18238	113630
*	20487	113648
*	20487	113648
*	20487	113648
*	19601	113668
*	19601	113668
*	19601	113668
*	8233	113962
*	8233	113962
*	8233	113962
*	16853	113966
*	16853	113966
*	16853	113966
*	570	114006
*	570	114006
*	570	114006
*	19617	114014
*	18219	114024
*	18219	114024
*	18219	114024
*	14456	114347
*	19584	114385
*	19584	114385
*	19584	114385
*	19996	114436
*	19996	114436
*	19996	114436
*	14659	114448
*	18035	114680
*	18035	114680
*	18035	114680
*	2358	114712
*	19810	114724
*	19810	114724
*	19810	114724
*	7038	114742
*	7038	114742
*	7038	114742
*	19106	114767
*	19106	114767
*	19106	114767
*	17230	114795
*	17230	114795
*	17230	114795
*	17057	114797
*	17057	114797
*	17057	114797
*	5586	115536
*	20135	116959
*	20135	116959
*	20135	116959
*	12861	117018
*	12861	117018
*	18105	117384
*	18105	117384
*	18105	117384
*	3915	117408
*	3915	117408
*	1679	118056
*	14648	118144
*	18375	118155
*	18375	118155
*	18375	118155
*	11835	118188
*	11835	118188
*	6853	118572
*	6853	118572
*	5919	118574
*	6473	118586
*	6473	118586
*	11048	118902
*	10613	119002
*	19401	120766
*	19401	120766
*	19401	120766
*	13113	121369
*	13113	121369
*	20061	121391
*	20061	121391
*	20061	121391
*	13532	121403
*	13532	121403
*	20278	122117
*	20278	122117
*	20278	122117
*	14219	122188
*	20653	122193
*	20653	122193
*	20653	122193
*	17424	122671
*	17424	122671
*	17424	122671
*	16108	122733
*	4493	122749
*	4493	122749
*	4493	122749
*	19657	123380
*	19657	123380
*	19657	123380
*	12968	123386
*	12968	123386
*	7690	124714
*	7690	124714
*	7690	124714
*	19483	124724
*	19483	124724
*	19483	124724
*	12532	124742
*	12532	124742
*	2579	125103
*	20564	125127
*	20564	125127
*	20564	125127
*	12189	125129
*	12189	125129
*	12189	125129
*	17689	125905
*	17689	125905
*	17689	125905
*	12294	125907
*	12294	125907
*	1642	126001
*	1642	126001
*	1642	126001
*	17412	126964
*	17412	126964
*	17412	126964
*	15935	126968
*	15935	126968
*	15935	126968
*	20301	126970
*	20301	126970
*	20301	126970
*	12421	127072
*	12421	127072
*	20185	127355
*	20185	127355
*	20185	127355
*	12473	127379
*	12473	127379
*	12473	127379
*	19968	127416
*	19968	127416
*	19968	127416
*	16267	127438
*	16267	127438
*	16618	127628
*	18155	129259
*	18155	129259
*	18155	129259
*	6265	129281
*	6262	130167
*	6262	130167
*	15039	130187
*	12288	130307
*	12288	130307
*	12288	130307
*	9122	130518
*	9122	130518
*	9122	130518
*	5128	131609
*	5128	131609
*	18624	131892
*	18624	131892
*	18624	131892
*	20069	131894
*	20069	131894
*	20069	131894
*	19284	131925
*	19284	131925
*	19284	131925
*	12172	131935
*	12172	131935
*	20540	131943
*	20540	131943
*	20540	131943
*	7162	132387
*	20237	132407
*	20237	132407
*	20237	132407
*	19376	133453
*	19376	133453
*	19376	133453
*	19819	133753
*	19819	133753
*	19819	133753
*	19279	133787
*	19279	133787
*	19279	133787
*	19111	133791
*	19111	133791
*	19111	133791
*	12305	13405
*	12305	13405
*	12305	13405
*	3927	13415
*	3927	13415
*	3927	13415
*	20137	135124
*	20137	135124
*	20137	135124
*	19924	135136
*	19924	135136
*	19924	135136
*	18567	135169
*	18567	135169
*	18567	135169
*	17381	135691
*	17381	135691
*	17381	135691
*	20503	135731
*	20503	135731
*	20503	135731
*	20232	136224
*	20232	136224
*	20232	136224
*	20334	14234
*	20334	14234
*	20334	14234
*	14474	14242
*	11843	143384
*	11843	143384
*	18427	143437
*	18427	143437
*	18427	143437
*	8399	14431
*	8399	14431
*	8399	14431
*	14253	14443
*	14253	14443
*	14253	14443
*	20052	14557
*	20052	14557
*	20052	14557
*	19353	14837
*	19353	14837
*	19353	14837
*	17500	14901
*	17500	14901
*	17500	14901
*	18828	14919
*	18828	14919
*	18828	14919
*	18772	14921
*	18772	14921
*	18772	14921
*	5590	15108
*	5788	15110
*	5788	15110
*	19937	154196
*	19937	154196
*	19937	154196
*	12351	154681
*	12351	154681
*	19282	154701
*	19282	154701
*	19282	154701
*	11966	154705
*	11966	154705
*	15740	155068
*	20639	155160
*	20639	155160
*	20639	155160
*	15091	156012
*	15091	156012
*	11657	156074
*	11657	156074
*	11657	156074
*	1999	16111
*	4139	16116
*	4139	16116
*	2903	16129
*	2903	16129
*	2903	16129
*	20465	16174
*	20465	16174
*	20465	16174
*	16702	16184
*	17276	16185
*	17276	16185
*	17276	16185
*	12677	16193
*	12677	16193
*	20589	16212
*	20589	16212
*	20589	16212
*	13980	165036
*	16867	165048
*	16867	165048
*	16867	165048
*	14037	165052
*	1354	165892
*	1354	165892
*	1354	165892
*	20305	165918
*	20305	165918
*	20305	165918
*	4612	165993
*	4612	165993
*	4612	165993
*	3177	1675
*	17881	1679
*	17881	1679
*	17881	1679
*	8531	17178
*	8531	17178
*	8531	17178
*	389	17517
*	389	17517
*	389	17517
*	3637	17519
*	3637	17519
*	7822	17941
*	7822	17941
*	7822	17941
*	7674	17943
*	7674	17943
*	7674	17943
*	7018	17951
*	7018	17951
*	18868	17971
*	18868	17971
*	18868	17971
*	20025	18262
*	20025	18262
*	20025	18262
*	17089	18712
*	17089	18712
*	17089	18712
*	20411	19188
*	20411	19188
*	20411	19188
*	3089	19281
*	3089	19281
*	3089	19281
*	20266	19282
*	20266	19282
*	20266	19282
*	14661	19300
*	19437	19300
*	19437	19300
*	19437	19300
*	905	19325
*	905	19325
*	905	19325
*	19599	19347
*	19599	19347
*	19599	19347
*	18986	19377
*	18986	19377
*	18986	19377
*	9324	19379
*	9324	19379
*	9324	19379
*	6499	19382
*	4910	19392
*	4910	19392
*	20410	19812
*	20410	19812
*	20410	19812
*	19753	19816
*	19753	19816
*	19753	19816
*	18649	19825
*	18649	19825
*	18649	19825
*	7181	19826
*	7181	19826
*	2587	19832
*	2768	19835
*	2768	19835
*	2768	19835
*	8053	19841
*	8053	19841
*	8053	19841
*	3857	19851
*	3857	19851
*	765	20005
*	765	20005
*	765	20005
*	18376	20035
*	18376	20035
*	18376	20035
*	3181	20066
*	2295	20070
*	2617	20423
*	19273	20585
*	19273	20585
*	19273	20585
*	2553	20842
*	2553	20842
*	2553	20842
*	5252	20884
*	5252	20884
*	5252	20884
*	661	20887
*	661	20887
*	661	20887
*	19731	20895
*	19731	20895
*	19731	20895
*	19564	20899
*	19564	20899
*	19564	20899
*	12747	209010
*	12747	209010
*	13213	209060
*	13213	209060
*	20432	20913
*	20432	20913
*	20432	20913
*	19342	20964
*	19342	20964
*	19342	20964
*	17094	21113
*	17094	21113
*	17094	21113
*	13260	21121
*	13260	21121
*	5089	21125
*	5089	21125
*	6411	21183
*	6411	21183
*	6411	21183
*	18838	21280
*	18838	21280
*	18838	21280
*	20585	21300
*	20585	21300
*	20585	21300
*	20015	21375
*	20015	21375
*	20015	21375
*	20151	21381
*	20151	21381
*	20151	21381
*	20159	21497
*	20159	21497
*	20159	21497
*	18978	21549
*	18978	21549
*	18978	21549
*	6318	21602
*	19163	21698
*	19163	21698
*	19163	21698
*	20039	21741
*	20039	21741
*	20039	21741
*	18418	21743
*	18418	21743
*	18418	21743
*	18717	21757
*	18717	21757
*	18717	21757
*	16981	21810
*	16981	21810
*	16981	21810
*	19794	21868
*	19794	21868
*	19794	21868
*	19150	21906
*	19150	21906
*	19150	21906
*	3911	21914
*	3911	21914
*	19134	21917
*	19134	21917
*	19134	21917
*	14087	22009
*	6369	22055
*	6369	22055
*	6369	22055
*	20429	22061
*	20429	22061
*	20429	22061
*	11498	22077
*	14941	221595
*	20056	221599
