read_id	alignment_genome	alignment_direction	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_num_insertions	alignment_num_deletions	alignment_num_aligned	alignment_num_correct	alignment_identity	alignment_accuracy	alignment_score	alignment_coverage
e90c6666-2596-4918-afd1-034accef43ea	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
d358282e-2bd4-408f-94b3-0654de6c77bf	JF236000.1.1359	+	196	1360	204	1344	46	70	1094	1005	0.918647	0.830579	1122	0.805004
162f2041-a2f4-4227-8c1f-0dccf607ce87	JF135157.1.1390	+	1	1391	0	1424	70	36	1354	1324	0.977843	0.906849	2084	0.974101
b368f5b3-1923-402d-8c45-9dec84ebce1c	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
d264d426-52cd-471c-af94-cbf41aabca66	JF135157.1.1390	+	1	1241	0	1240	66	66	1174	1033	0.879898	0.790965	950	0.844604
7a7e59fb-0097-4531-ba4d-f12a9462b481	EU861877.1.1465	+	262	1461	249	1440	47	55	1144	1071	0.936189	0.859551	1390	0.780887
65173f3b-854f-4fa3-b008-810ea98c47dd	HQ119617.1.1536	+	256	1529	229	1495	48	55	1218	1140	0.935961	0.862983	1550	0.792969
00d86523-8629-4669-a47b-68b6992bb3a9	GQ339147.1.1502	+	21	1499	0	1439	38	77	1401	1293	0.922912	0.852902	1632	0.932756
cb5de97b-5cbd-4298-8fd7-ca76e4aad6e8	JN417561.1.1513	+	21	1388	0	1399	58	26	1341	1255	0.935869	0.880702	1798	0.886319
c9217743-2d16-43f0-987d-fa2d51097098	FPLS01022981.20.1483	+	21	1444	0	1378	20	65	1358	1293	0.952136	0.89605	1928	0.936552
0937943e-0c3e-4e80-a2a8-3b5b7a0d55c5	FPLS01023393.19.1464	+	203	1426	208	1394	16	53	1170	1075	0.918803	0.867635	1460	0.809129
e08ad3df-4289-412f-ab14-261f7d37cbcb	EF516848.1.1434	+	1	1435	1	1430	33	38	1396	1368	0.979943	0.932515	2302	0.973501
c09fc1d4-790d-4161-999c-f2f2c3b3dcd4	JQ311889.1.1433	+	13	1434	8	1399	39	69	1352	1289	0.953402	0.882877	1854	0.943475
e91de886-132c-41a4-a5eb-1709f11b17c8	AH012920.32772.34324	+	26	1521	4	1467	26	58	1437	1303	0.90675	0.856673	1662	0.925306
c1d72b92-b429-49e4-b688-ffdb36c8065b	AB672241.1.1469	+	6	1470	5	1480	43	32	1432	1384	0.96648	0.918381	2214	0.974813
05f236af-9955-446b-af1e-d512ef4b2725	HQ119989.1.1497	+	27	1489	0	1426	19	55	1407	1369	0.972992	0.924375	2214	0.940508
419fb0cc-bd82-4252-ae62-525f6357a6d3	KF071000.1.1356	+	1	288	0	287	7	7	280	271	0.967857	0.921769	438	0.645161
3aae4cf6-f186-4cb8-9c39-9664c279bbdd	FPLS01057870.16.1496	+	20	1461	1	1402	23	63	1378	1329	0.964441	0.907787	2074	0.930452
139ce322-46f2-48e3-865a-79c9bd431bed	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
803c423b-ceed-4630-96a9-96c86e78a8ba	KF712655.1.1494	+	300	1483	283	1434	37	69	1114	1038	0.931777	0.85082	1320	0.745649
0b2dcaa0-c77c-456b-9cd7-c8e31295cb49	FPLS01046973.16.1530	+	229	1495	177	1403	30	70	1196	1149	0.960702	0.886574	1711	0.801609
51b448c8-6410-4c06-a6be-1fba4b18410b	HQ397157.1.1477	+	226	1474	180	1366	24	86	1162	1074	0.924268	0.84434	1328	0.798625
f65b9d7f-0dde-4a3a-a361-7de2d335b9cc	DQ984601.1.1502	+	24	1397	6	1346	51	84	1289	1204	0.934057	0.845506	1526	0.858189
4a9a7a5e-9814-4e39-a86a-569ae188983b	EU133687.1.1336	+	688	915	679	905	9	10	217	183	0.843318	0.775424	152	0.162425
62e81bfb-7dde-42f2-a90d-25d65a8933e5	EF516591.1.1492	+	1	1493	1	1498	46	41	1451	1359	0.936595	0.883615	1944	0.97252
a87927f0-d19b-4f28-9ab2-a2ae177781c6	KM200749.1.1515	+	24	1511	4	1448	38	81	1406	1281	0.911095	0.84	1524	0.928053
4b69379b-d958-43d0-b14e-37814f4ad1a5	KY992613.1.1498	+	20	1497	0	1454	29	52	1425	1367	0.959298	0.907703	2132	0.951268
ea6d6a12-81f2-4c4f-ac7a-3c8277fb7a2e	AP017313.4721397.4722906	+	22	1482	0	1443	34	51	1409	1360	0.965224	0.910308	2126	0.933113
b782a5b4-8b06-47cc-a90e-b541542c24e1	JF429091.1.1457	-	4	699	71	766	20	20	675	656	0.971852	0.917482	1032	0.463281
957d24cc-b7ab-4ba9-bb70-b0e165c86fc5	KF912984.1.1513	+	19	1510	5	1544	107	59	1432	1304	0.910615	0.81602	1332	0.946464
90eadbbe-2513-4072-ba62-7106f079b4fb	AB661543.1.1445	+	1	1444	0	1433	49	59	1384	1315	0.950145	0.881367	1898	0.957785
ceedde87-88fd-4a3d-a6b3-29db15f20cf5	HM438054.1.1497	+	1	1461	16	1459	36	53	1407	1372	0.975124	0.917112	2206	0.93988
658ccc7a-d4b3-4487-818c-cc086669fb7c	CP014616.548643.550200	+	31	1460	1	1380	42	92	1337	1215	0.908751	0.825969	1334	0.878449
7e660838-0bb6-41fa-a41c-838b5089dbc1	KC551584.1.1461	+	3	1444	2	1423	65	85	1356	1219	0.898968	0.809429	1194	0.928131
f5390185-3a87-422b-9d2f-762d42f8dc30	KY992639.1.1465	+	20	1465	0	1446	42	41	1404	1328	0.945869	0.893073	1941	0.958362
edc7134c-4879-4445-a105-11e18b1ea676	JX475136.1.1456	+	11	1387	27	1437	93	59	1317	1222	0.927866	0.831858	1409	0.904533
f00ec40a-eccc-4050-9ba8-c3d686b534a7	LT670817.7221876.7223370	+	32	1458	2	1405	21	44	1382	1297	0.938495	0.896337	1956	0.935047
8d0b9275-ef80-49fa-8ff1-56c518593f6d	FPLS01023335.19.1548	+	21	1412	2	1360	33	66	1325	1189	0.897358	0.834972	1392	0.866013
052af8e3-7f31-42db-ba67-d9c65985c80c	HM262899.1.1353	+	1	971	0	997	46	19	951	903	0.949527	0.88878	1324	0.719365
20ab585c-b68e-4bbb-8c65-960fca8efb04	FPLS01016362.21.1527	+	21	1492	0	1467	42	46	1425	1368	0.96	0.904164	2100	0.945587
4483a946-c512-46a6-967b-d19eb46b5998	KC331238.1.1459	+	23	1402	2	1398	46	29	1350	1236	0.915556	0.867368	1694	0.925291
4681eb45-24f6-42b9-ae5b-7b460622f966	EF515926.1.1421	+	29	731	26	675	25	78	624	542	0.86859	0.74553	294	0.446991
f410ea24-24d6-4d29-b33e-786cc44a9d2d	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
e5fecc0d-f33e-4152-929e-8a06b2ab672c	LN570398.1.1322	+	5	1310	4	1313	69	65	1240	1143	0.921774	0.831878	1342	0.937973
892f8166-1a03-4345-b26e-208229e8331e	FPLS01032424.16.1509	+	21	1474	0	1412	16	57	1396	1349	0.966332	0.918312	2176	0.938172
cbf0ce59-07a5-4d7c-8b98-51201d1dca7d	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
d56c0b24-4e7e-4046-9057-f216e4fc39b0	EU861821.1.1373	+	1	1371	107	1476	42	43	1327	1234	0.929917	0.873938	1714	0.966497
d582cc3a-5280-4532-8f3e-518f9a4931f2	CP012371.1252551.1254065	+	21	1496	0	1455	30	50	1425	1320	0.926316	0.877076	1828	0.940594
2d8bf9c5-e855-4b66-a2b7-75c4ecabf845	EF515926.1.1421	+	1	1422	5	1403	33	56	1365	1312	0.961172	0.902338	1990	0.960591
916e94aa-ce95-4b43-a586-ff0c44475f20	CP024608.1351272.1352812	+	35	1505	0	1432	48	86	1384	1323	0.955925	0.871542	1802	0.911726
9ffb00ca-11e8-4567-90db-4400f08f8421	JF935216.1.1432	+	206	1429	206	1404	47	72	1151	1023	0.888792	0.805512	1024	0.803771
119dac5d-f7c3-4826-800d-e63c8f69e0cb	JX489926.1.1488	+	22	1486	0	1441	41	64	1400	1322	0.944286	0.878405	1866	0.94086
1dbfbbea-0dbb-439a-8ed4-91674b5d5651	FR667361.1.1391	+	1	1392	36	1415	26	38	1353	1312	0.969697	0.9259	2164	0.972682
a6ae50b1-6515-49ed-aaf2-eef44ef4712b	FPLS01031559.12.1515	+	219	1483	183	1438	40	49	1215	1126	0.926749	0.863497	1458	0.807846
