read_id	alignment_genome	alignment_direction	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_num_insertions	alignment_num_deletions	alignment_num_aligned	alignment_num_correct	alignment_identity	alignment_accuracy	alignment_score	alignment_coverage
940cb6ea-f79a-427c-92db-4978cc24a071	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
180e7e5c-9216-45db-a6c8-0570fbb4ea1f	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
70fc7f18-3578-4ff8-bcc9-1146552f238c	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1bca6005-42ce-46a6-bc3b-185cf0bee8d9	Escherichia_coli_16S_5	+	28	1507	0	1454	51	76	1403	1189	0.84747	0.777124	960	0.916993
243fa170-62e7-4895-a320-a588d25f357a	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
ed405e83-15d1-4e87-8640-970ec0d6848c	Salmonella_enterica_16S_1	+	238	1501	171	1400	42	76	1187	998	0.840775	0.764751	720	0.797715
0e192dfe-d7c3-4836-9651-56ac8ce906ff	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
f1a55327-4117-41d1-b46c-6ae0ce37046c	Staphylococcus_aureus_16S_3	+	318	1520	242	1395	45	94	1108	929	0.838448	0.744988	536	0.754255
fe0fa9ed-d34e-4c72-ac47-f9ba8fd84db8	Staphylococcus_aureus_16S_3	+	32	233	3	219	19	4	197	177	0.898477	0.804545	184	0.591592
a050664f-326a-4680-a538-df7a685ffcbc	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
99b8cc92-b9b4-4a63-872f-14f42b7d3fa7	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
cd82acd1-d978-4d96-91b3-b5ead84892cf	Enterococcus_faecalis_16S_2	-	243	459	261	462	8	23	193	173	0.896373	0.772321	128	0.130317
f3b9a10f-8a21-4375-a281-5425828686b1	Escherichia_coli_16S_3	+	310	1508	254	1375	41	118	1080	909	0.841667	0.733656	486	0.762712
c52b66c6-ed6b-46b2-81b6-3fb22f3f57ae	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1a27ed68-f4e1-417e-9167-e2b4604944d4	Pseudomonas_aeruginosa_16S_4	+	212	620	160	536	13	45	363	321	0.884298	0.76247	266	0.361194
30f5ca5e-4d5d-40cb-b3a2-535d4db92108	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9e7c635d-5d5b-414a-8848-be93be684247	Pseudomonas_aeruginosa_16S_4	+	869	1394	824	1375	41	15	510	430	0.843137	0.759717	284	0.334207
e70e3502-66e2-4403-afef-f5e8184abcc2	Salmonella_enterica_16S_6	+	235	573	192	502	7	35	303	265	0.874587	0.768116	202	0.218457
4ed09be3-a781-427a-8519-7bc86849853c	Enterococcus_faecalis_16S_4	+	265	1425	215	1391	75	59	1101	932	0.846503	0.754656	584	0.717731
9aaa3863-1f2a-4fa4-bcab-a3179f2f2122	Bacillus_subtilis_16S_6	+	32	1518	3	1455	41	75	1411	1225	0.868179	0.802227	1202	0.91386
0c9db439-239f-4ac7-8b7a-22656f3d327c	Staphylococcus_aureus_16S_6	+	257	1520	224	1472	41	56	1207	1005	0.832643	0.770706	776	0.775707
62f5360f-46f9-4d5c-b321-01fb6d434ba0	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
65ba6c72-0337-4256-942d-317c6405e42e	Bacillus_subtilis_16S_3	+	886	1418	858	1389	26	27	505	427	0.845545	0.765233	296	0.324134
f198df06-b0df-4c27-8032-e04fcf5991d3	Bacillus_subtilis_16S_6	+	29	1450	0	1385	62	98	1323	1116	0.843537	0.752529	748	0.889711
2f201d5d-a3d5-4865-b0fa-7a84e0397dd6	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
92cf4a2e-0eec-4309-803b-7accb150f292	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
57f3c691-1956-47e1-813a-001c3fa63960	Pseudomonas_aeruginosa_16S_1	+	228	1494	222	1410	33	111	1155	990	0.857143	0.762125	700	0.771543
6e450b43-b726-4def-a5d3-aa823d6d68e2	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
b0250d03-d1d3-448f-a31a-4ad8f760e420	Listeria_monocytogenes_16S_1	+	29	1517	2	1472	95	113	1375	1123	0.816727	0.709413	422	0.891121
9823418a-9987-45b7-9136-65f6c5d032a2	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
ddf99763-78f0-48d3-be74-6d9420b2a018	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
db9ee908-4b33-4546-a07a-80059c766fed	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
d8b49fe1-8dae-4141-bfcd-b18651c12b4e	Escherichia_coli_16S_7	+	242	1508	210	1430	58	104	1162	968	0.833046	0.731118	472	0.765481
b002818f-196c-46df-90a9-490e64a6ca59	Salmonella_enterica_16S_6	+	21	1501	0	1450	45	75	1405	1235	0.879004	0.809836	1250	0.92556
61d5f5c5-f1fa-4a73-abfe-e0f1b7c46b60	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6c220f22-3483-4e50-8fd5-9e14a25f0601	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
ac94c2e2-8e08-4dca-b6cb-195fa18b012b	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9551d759-27f8-4791-9d11-b3c17c859d32	Pseudomonas_aeruginosa_16S_1	+	223	1494	172	1388	49	104	1167	1008	0.863753	0.763636	730	0.791723
02966192-cfd8-4ec4-87f2-34a799a3624a	Pseudomonas_aeruginosa_16S_1	+	228	1494	224	1463	48	75	1191	1020	0.856423	0.776256	818	0.780472
721e0971-efb3-4550-9d6e-675c69f3076b	Salmonella_enterica_16S_5	+	234	1501	189	1448	51	59	1208	1022	0.846026	0.775417	832	0.790576
853012e8-be57-480a-8503-e9188292c95c	Pseudomonas_aeruginosa_16S_2	+	223	1396	280	1416	44	81	1092	945	0.865385	0.7765	788	0.715596
356980a9-14ef-4d01-804f-88f814e74753	Staphylococcus_aureus_16S_1	+	252	1520	185	1414	37	76	1192	983	0.824664	0.753257	648	0.801075
89ce7dd9-fd91-494b-a1b3-2d9b7d687899	Bacillus_subtilis_16S_10	+	253	1123	199	1031	50	88	782	636	0.813299	0.691304	140	0.529093
3b669622-0a70-4748-ab51-cd3d27b749c5	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
36dc1598-858f-4ec4-9b55-240cd29787d1	Salmonella_enterica_16S_1	+	239	1403	229	1386	54	61	1103	924	0.837715	0.758621	622	0.719035
7f7c043a-a84c-4843-96bb-9ce37ff21e61	Bacillus_subtilis_16S_7	+	673	1417	569	1267	37	83	661	569	0.860817	0.728553	262	0.475198
cf42456c-3e80-4cd3-8ec0-018643d9847f	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
c26103d5-bb70-4208-bc95-8b408993a584	Pseudomonas_aeruginosa_16S_1	+	212	1494	159	1404	54	91	1191	1021	0.857263	0.764222	744	0.799866
9239254d-0b5e-475e-a6c7-236f5bbb1236	Salmonella_enterica_16S_5	+	239	1501	220	1448	33	67	1195	984	0.823431	0.759846	656	0.784636
d0ec01f3-583d-4cf5-b772-4e15ef5e45a5	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
da4499bc-091d-46c3-a8d3-3714e7ab1c62	Bacillus_subtilis_16S_2	+	243	1422	207	1355	45	76	1103	927	0.840435	0.757353	681	0.717632
7b801197-6115-4c8c-b2bc-1839cfb714b0	Pseudomonas_aeruginosa_16S_1	+	21	1494	2	1414	46	107	1366	1165	0.852855	0.766952	852	0.912492
bfcd5a0b-07c9-4ee3-b89e-021da69ba752	Salmonella_enterica_16S_5	+	246	1402	231	1399	61	49	1107	945	0.853659	0.7765	754	0.721643
1bc6ea1a-279e-47b4-863e-76d9b0f34bd1	Pseudomonas_aeruginosa_16S_4	+	23	1494	3	1476	87	85	1386	1212	0.874459	0.77792	996	0.908257
cf5bf480-8b51-44d5-94b6-538936d500d8	Pseudomonas_aeruginosa_16S_1	+	19	1494	0	1521	117	71	1404	1202	0.856125	0.755025	823	0.920052
dabf041d-6aca-4b70-a497-c6b550496cf3	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
856d5a3e-4e2b-496d-ab65-755c6f9c2f5a	Pseudomonas_aeruginosa_16S_1	-	864	1347	348	820	28	39	444	375	0.844595	0.733855	164	0.414953
2a09ad61-2d06-45ad-8e7b-3084474bc741	Enterococcus_faecalis_16S_4	+	258	1425	208	1351	32	56	1111	921	0.828983	0.76814	666	0.725196
88ea500d-ca5d-46a0-b642-609a3931fa7f	Bacillus_subtilis_16S_10	+	240	1430	166	1307	34	83	1107	919	0.830172	0.750817	601	0.750508
01a07b5b-1787-4b66-ae4b-ead1dfc73a2a	Pseudomonas_aeruginosa_16S_2	+	22	1494	3	1415	50	110	1362	1171	0.859765	0.769382	926	0.930328
52f808c7-13df-4460-90b5-5fd290ddfe9b	Salmonella_enterica_16S_4	+	490	1502	490	1491	52	63	949	774	0.815595	0.727444	350	0.618644
05064f71-5a85-4e94-8516-769c89f90a1a	Listeria_monocytogenes_16S_4	+	32	1428	4	1352	56	104	1292	1046	0.809598	0.720386	464	0.848883
6436255e-3071-450a-b350-87e55cda5720	Listeria_monocytogenes_16S_1	+	251	1517	222	1490	59	57	1209	1018	0.842018	0.768302	780	0.778995
5a9bfd03-3859-4bf1-b4ab-f6e12215eaa3	Listeria_monocytogenes_16S_4	+	251	1517	208	1478	56	52	1214	1068	0.879736	0.807867	1044	0.784745
597f2eef-1806-441b-a6e0-e83c920a418b	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
c7ac3097-ba4d-4bfa-a610-4416d643ba2d	Salmonella_enterica_16S_3	+	235	1500	218	1474	37	46	1219	1031	0.845775	0.791859	928	0.794654
f4bb0bea-35e0-453d-b9bd-1f8d9acd3975	Bacillus_subtilis_16S_8	+	243	1518	198	1426	34	81	1194	1065	0.89196	0.813598	1120	0.787599
05d206cc-7b2e-40a2-8449-fbc442e843bb	Bacillus_subtilis_16S_2	+	250	1518	193	1415	64	110	1158	1038	0.896373	0.779279	884	0.768414
cf9ba39a-89d7-482b-99d9-1a85c5dfedb5	Enterococcus_faecalis_16S_4	+	265	1425	221	1359	63	85	1075	895	0.832558	0.731807	418	0.710979
5de0e995-9b8b-45cf-ad0a-63c196523b91	Salmonella_enterica_16S_6	+	280	1495	267	1470	49	61	1154	985	0.853553	0.779272	826	0.752282
785f9879-a84f-4f63-b5b1-9203ee7f9bf6	Salmonella_enterica_16S_5	+	235	1501	187	1433	41	61	1205	1017	0.843983	0.778118	858	0.791721
9f4b45f0-4454-4697-8e80-3c2dd164f109	Salmonella_enterica_16S_1	+	236	1404	217	1386	45	44	1124	923	0.821174	0.760923	660	0.732725
5db08215-1bd3-4337-8793-98baf8fd25a8	Enterococcus_faecalis_16S_4	+	262	1466	203	1392	64	79	1125	919	0.816889	0.724763	392	0.737705
77a9b87e-369b-4180-8d47-aea5f09389f5	Bacillus_subtilis_16S_2	+	29	1506	0	1474	47	50	1427	1315	0.921514	0.862861	1716	0.915918
87d0856f-c007-4eae-9d4d-95ecfb90632f	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0406bfd0-f2f0-4546-ab46-62a5c433047f	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
abc93985-625b-43dd-a0ec-3eb520d78c2c	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1ba5bc6d-2a56-4639-8df7-ecf12f3c1b0f	Escherichia_coli_16S_4	+	28	1421	0	1370	57	80	1313	1086	0.827114	0.748966	686	0.859856
8c81414b-e881-4d79-a3c6-ca55be252d03	Bacillus_subtilis_16S_4	+	99	1391	80	1326	80	126	1166	951	0.815609	0.693149	210	0.774236
5a1bd575-f712-4396-88d3-20fa363a94d0	Listeria_monocytogenes_16S_2	+	251	1428	200	1371	62	68	1109	934	0.8422	0.753834	588	0.71873
cf81d06d-c549-49c9-8ca3-a4d4c2599eb9	Listeria_monocytogenes_16S_6	+	235	1417	164	1299	31	78	1104	931	0.843297	0.767519	704	0.752556
9c80de16-827b-40aa-b666-8e05f91dbb82	Pseudomonas_aeruginosa_16S_3	+	226	1492	172	1416	65	87	1179	1030	0.873622	0.773854	788	0.785476
230fab87-7f0c-4c26-b894-a4f46926a42b	Pseudomonas_aeruginosa_16S_2	+	19	1493	0	1479	84	79	1395	1191	0.853763	0.764442	856	0.914155
c7dde71e-619c-4cb6-aac0-9228f941eb8f	Bacillus_subtilis_16S_6	+	32	1483	3	1393	38	99	1352	1136	0.840237	0.762928	838	0.89418
a0fec05a-49ad-47ca-aba4-bf2851153b9a	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
d02737a2-8eca-40ad-88f1-61b8cd9982be	Listeria_monocytogenes_16S_3	+	28	1514	0	1423	57	120	1366	1158	0.847731	0.750486	734	0.901055
9c8fa6c6-742d-4039-b188-5fb07d416ea2	Bacillus_subtilis_16S_10	+	249	1518	209	1466	58	70	1199	1045	0.87156	0.787491	874	0.771557
