read_id	alignment_genome	alignment_direction	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_num_insertions	alignment_num_deletions	alignment_num_aligned	alignment_num_correct	alignment_identity	alignment_accuracy	alignment_score	alignment_coverage
14111317-c1de-4e56-b53c-1d53bf83ba9e	Listeria_monocytogenes_16S_2	+	99	1421	49	1293	39	117	1205	1006	0.834855	0.739162	622	0.820286
cafc2e3c-3eb3-4a06-b35b-a0caded01d5c	Pseudomonas_aeruginosa_16S_3	+	212	1494	165	1416	47	78	1204	1039	0.862957	0.781791	852	0.811868
486bbfef-8f4d-44ea-b3b5-580c0ad3ed01	Bacillus_subtilis_16S_2	+	502	1518	437	1462	68	59	957	824	0.861024	0.760148	530	0.622642
8fa8cd30-6501-4115-b70a-c4cfa20662f7	Escherichia_coli_16S_7	+	31	1409	3	1378	112	115	1263	1043	0.825812	0.7	393	0.819066
cdcc161a-96e9-4a69-8d3c-5ccb794b3615	Pseudomonas_aeruginosa_16S_3	+	212	1406	161	1325	65	95	1099	944	0.858963	0.749801	612	0.741065
e49f4c0b-7021-48e0-88d1-486f194fb8ff	Pseudomonas_aeruginosa_16S_3	+	22	1494	3	1385	40	130	1342	1148	0.85544	0.759259	832	0.920439
f63a0547-e538-4044-984e-156fd947965f	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
fd57c97b-d002-4ff3-8dd5-a57c4c3a8070	Bacillus_subtilis_16S_3	+	29	1514	0	1403	74	156	1329	1131	0.851016	0.725465	566	0.888963
65d100a6-1490-43b4-9a68-f5cb6a4d98e9	Bacillus_subtilis_16S_7	+	249	1419	225	1382	60	73	1097	976	0.889699	0.793496	914	0.704108
1e0c0d62-83a7-4da0-a08c-c7919af2d91a	Staphylococcus_aureus_16S_1	+	689	1419	630	1359	45	46	684	569	0.831871	0.734194	256	0.447059
31795f50-8b53-47ff-b4b2-2a6d630157bc	Listeria_monocytogenes_16S_2	+	29	1517	1	1443	54	100	1388	1171	0.84366	0.759403	854	0.905414
5e858d63-c8b9-461c-9aaf-5daf87825a10	Listeria_monocytogenes_16S_3	+	28	1517	0	1507	65	47	1442	1304	0.9043	0.839125	1544	0.929124
8609de3b-9587-48ea-be0c-6e0cffc5ed7e	Bacillus_subtilis_16S_6	+	51	1518	20	1466	61	82	1385	1240	0.895307	0.811518	1294	0.894703
f394d7ce-b200-41ce-beb3-02a2831ce10b	Escherichia_coli_16S_4	+	242	1404	215	1372	66	71	1091	901	0.825848	0.733713	460	0.707523
adede203-a73c-4690-8b1f-a26f969c992e	Enterococcus_faecalis_16S_1	+	259	1425	218	1367	47	64	1102	922	0.836661	0.760099	626	0.712346
54aac8f8-867b-4755-9f6e-a2f32254226e	Escherichia_coli_16S_8	+	321	1502	295	1456	40	60	1121	956	0.85281	0.782965	796	0.731246
