read_id	alignment_genome	alignment_direction	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_num_insertions	alignment_num_deletions	alignment_num_aligned	alignment_num_correct	alignment_identity	alignment_accuracy	alignment_score	alignment_coverage
2bfe1b19-e14d-49c5-bbb7-c0f74bcec434	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
55c1ff48-c41f-4c28-9620-54b7aa3aa87a	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
778314f8-42a0-4027-881e-6a14283bd1c4	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
917d0e7e-3780-4e46-9e6e-45eb5fd1fda8	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
440e4506-b461-4ebf-83c3-5b3252e13d76	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
dc766ba6-4893-4d8e-8119-7f16502cb12f	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
eb22b2d2-83ed-49f1-a2dc-96e6040d873d	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12af3a53-1926-4117-a986-a3ebcff8baa7	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
cc28b811-35b8-4c16-9eb4-71d93e7c5bd9	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6b6097cc-cb38-4725-9b06-6e71af72fdbd	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2cc9a699-6cad-442d-a665-c1ebab675b05	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7f3d485c-ef7c-407e-90d3-70daaf967a1b	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4b1b9581-6d1e-4a2c-848a-09f72268ca19	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
a5be116d-c26b-4cd0-a003-e3d461b5c35b	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
bcdfef77-b4e6-47a2-a6ff-b3e70018e754	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
fea4f2ad-f793-46df-a1ef-5f22ecb5c460	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0968f424-6de8-4654-ac04-9214f812ebe7	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
63c09871-4b6f-46d3-b1fe-b76cdd84ca04	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
