read_id	alignment_genome	alignment_direction	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_num_insertions	alignment_num_deletions	alignment_num_aligned	alignment_num_correct	alignment_identity	alignment_accuracy	alignment_score	alignment_coverage
6b39268a-dcfb-405a-97e8-8986d845a44a	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4036d7d7-6c47-4461-a123-6e20ed4e4e62	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7693b33e-74b4-40f7-b57e-96b6aeaecd5d	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
e1e4d76f-8364-46e0-a5af-46dbd887e3b7	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
bb0b9587-9ac3-495f-bd0f-152f9b5bca6a	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
f90bc0d0-d074-4785-b636-660527092178	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0a0bd26e-880a-4793-b0d6-317fdd2f54c3	Pseudomonas_syringae_pathovar_maculicola_false_positive_2	+	27	1505	0	1543	116	51	1427	1268	0.888577	0.795483	1206	0.927828
e046dcc2-c971-4a90-b9e0-194cfca7b1d3	Listeria_monocytogenes_16S_1	+	257	974	229	963	58	41	676	556	0.822485	0.717419	206	0.701973
0e486427-75d7-417e-96dd-b69fa7bafc6d	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5c5dd0ed-cefa-4063-81d0-56b4840cafcc	Pseudomonas_syringae_pathovar_maculicola_false_positive_2	+	26	1505	1	1451	52	81	1398	1222	0.874106	0.798171	1158	0.909564
cc1879b9-7d22-44ce-b92b-1e24f743a66e	Pseudomonas_syringae_pathovar_broussonetiae_false_positive_1	-	683	1197	719	1237	36	32	482	407	0.844398	0.74	226	0.377743
0c528331-1fc7-4382-838d-05ab637eca6c	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0208b67d-ab41-46b5-be5f-7fccb7021578	Pseudomonas_coronafaciens_pathovar_atropurpurea_false_positive_1	+	233	1421	177	1330	42	77	1111	938	0.844284	0.762602	706	0.741161
0457087d-0242-46e1-88c6-c2fdc70aee1e	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1c75ada0-dd28-4186-9904-03b9bc3e79da	Bacillus_alcaliinulinus_false_positive	+	4	1391	4	1402	138	127	1260	1034	0.820635	0.678033	86	0.837209
286af504-8242-4b58-9d5a-dbf9deac39b4	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3ebc1150-8140-4167-a787-44973f0164eb	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11c090d0-594e-4fa5-a48e-99f9ceb69c66	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25762daf-b3af-4e61-8701-b51ebca55c84	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25905e3a-a007-454c-aba7-fba5712f1429	Enterococcus_faecalis_16S_3	+	760	1399	777	1464	77	29	610	515	0.844262	0.719274	218	0.390525
4153c87c-872b-4fef-9553-843841140174	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
658dc10b-0371-4ae6-893c-c041ab219732	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4ebcf3c2-9034-49f6-bbea-6a48b7fd7a21	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
38dce750-caa9-40a7-9a3b-5fd601002c96	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4252b95c-679d-4ea6-872b-7ef65f78f04b	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0d47ad22-b446-4af5-abab-5b844066e74c	Pseudomonas_aeruginosa_16S_1	+	234	1378	232	1359	60	77	1067	861	0.806935	0.715116	296	0.708499
20949402-48ee-4568-a1b6-775a4dc2dd34	Salmonella_enterica_16S_4	+	236	1410	212	1335	51	102	1072	891	0.831157	0.727347	424	0.710875
4275f892-4ecc-4f0c-a02c-3d777d61804b	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12db9d72-d477-4f47-b469-866b549715ea	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3b7096d4-9c6b-43d9-9891-c9a502179897	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7d35bd92-a3ef-4e16-9e92-49f441d18904	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5600eb0d-e54c-45c4-9650-34112c320110	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5f0f7b3c-2573-4a08-9056-d3a258174dd8	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
b0f12fb5-ca24-445d-b600-9c6d38f25d68	Pseudomonas_savastanoi_pathovar_phaseolicola_false_positive_2	+	498	1505	454	1464	50	47	960	794	0.827083	0.751183	486	0.624187
