read_id	alignment_genome	alignment_direction	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_num_insertions	alignment_num_deletions	alignment_num_aligned	alignment_num_correct	alignment_identity	alignment_accuracy	alignment_score	alignment_coverage
f4b4df68-b31a-49ba-bb54-bc0d4159bc2d	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19164641-af80-4520-82e9-7baf730cc8a8	Salmonella_enterica_16S_1	+	239	1501	201	1428	40	75	1187	1005	0.846672	0.771889	768	0.791861
8892cd16-f17e-44fb-bf1f-70fcfc58d79e	Pseudomonas_aeruginosa_16S_3	+	19	1494	0	1433	47	89	1386	1189	0.857864	0.781209	970	0.922156
df86a780-1fb7-40c2-b8aa-1bd88848cfdf	Salmonella_enterica_16S_2	+	236	1501	210	1473	73	75	1190	967	0.812605	0.722721	402	0.77575
102b566e-7b3b-457e-b8df-6ba07b6cff35	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8bebe6a2-3ddb-472d-a257-c13d2e5b44a8	Bacillus_subtilis_16S_4	+	249	1417	202	1340	66	96	1072	880	0.820895	0.713128	336	0.706192
300dab37-656f-47e9-98f5-d14235c3c59e	Salmonella_enterica_16S_5	+	25	1434	4	1386	75	102	1307	1077	0.824024	0.725741	536	0.852021
a8bebefe-0880-4edd-9c6f-c861289e5149	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8fe4f628-00a7-4080-a7b2-d7f883e3f946	Salmonella_enterica_16S_4	+	245	1501	248	1520	65	49	1207	990	0.820215	0.749432	628	0.786832
46e4a5f2-856a-4a6b-8e40-18e6924071f1	Enterococcus_faecalis_16S_1	+	691	1526	60	896	41	40	795	680	0.855346	0.776256	566	0.818744
b38ee300-6a4e-4841-a327-9ebc0f97e07d	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
55290aa7-e2e4-4500-a079-dd9a0129c5b3	Salmonella_enterica_16S_2	+	234	1502	184	1427	53	78	1190	996	0.836975	0.753974	646	0.788602
b044b7e7-b3c1-486f-ac88-4d83d1754ff9	Pseudomonas_aeruginosa_16S_1	+	19	1494	0	1472	66	69	1406	1206	0.857753	0.782609	1014	0.927441
7bccc3a3-8871-4e54-8995-1ef030702b1e	Pseudomonas_aeruginosa_16S_2	+	237	807	184	718	17	53	517	438	0.847195	0.746167	292	0.365888
3cfb49c6-fd1d-4d29-b328-11f3ab2a61a5	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
b19bde03-66be-4265-b0d5-b2daf4bd0140	Bacillus_subtilis_16S_4	+	35	1518	5	1359	44	173	1310	1100	0.839695	0.720367	514	0.916084
51dc1749-3859-4f0e-8684-d4705c28e0f1	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
84e7bc9e-4619-4b0a-94c1-19284c3c9d82	Salmonella_enterica_16S_3	+	236	1419	200	1347	44	80	1103	923	0.836809	0.752241	566	0.729015
570e2d34-dacf-4cf2-ae14-263009d831f1	Listeria_monocytogenes_16S_4	+	32	1429	4	1343	59	117	1280	1083	0.846094	0.743819	654	0.867797
72113414-532c-4686-876f-1af8229f495b	Salmonella_enterica_16S_4	+	23	1414	2	1369	69	93	1298	1105	0.85131	0.756849	758	0.846154
a29eee10-f832-48d6-8ee2-b5b988b66e76	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
e8d4f3b7-8f88-4345-a47f-ade7b8061405	Pseudomonas_aeruginosa_16S_3	+	226	1403	183	1289	53	124	1053	902	0.8566	0.733333	450	0.722718
0db8864a-f4fe-4e0f-b334-f75bce2379d0	Bacillus_subtilis_16S_2	+	109	1518	79	1471	55	72	1337	1065	0.796559	0.727459	464	0.858151
747337b0-18d9-4823-8c88-ce73067ba30c	Pseudomonas_aeruginosa_16S_3	+	87	1494	70	1453	52	76	1331	1156	0.86852	0.792324	1020	0.872215
62d899c7-e25a-4107-9daf-8c3364b6a50e	Staphylococcus_aureus_16S_4	+	254	1446	240	1435	64	61	1131	916	0.809903	0.729299	430	0.726864
94b712d7-991f-4947-812e-abfccb1e6118	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1516516f-c8c4-4e36-a012-3be1e98aac17	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
66dbc2aa-b81b-45fb-95d9-d8b57932d28f	Pseudomonas_aeruginosa_16S_2	+	223	1493	179	1419	57	87	1183	963	0.814032	0.725697	450	0.787616
ff5fef9b-6566-40f4-ba9d-3bf354c17f76	Listeria_monocytogenes_16S_2	+	28	1290	0	1199	52	115	1147	959	0.836094	0.729833	484	0.930251
9005bfa5-c49a-4924-9764-d0286550e14c	Salmonella_enterica_16S_3	+	239	1501	241	1468	54	89	1173	958	0.816709	0.727964	458	0.764668
