read_id	alignment_genome	alignment_direction	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_num_insertions	alignment_num_deletions	alignment_num_aligned	alignment_num_correct	alignment_identity	alignment_accuracy	alignment_score	alignment_coverage
66b79bb1-e9f7-4d36-871d-f77ccfd63208	LT906451.231504.233037	+	21	1506	0	1463	38	60	1425	1331	0.934035	0.873933	1822	0.928944
12917efa-be72-461d-9138-9eb4ef6c26a9	HE603513.1.1497	+	1	1477	0	1452	18	42	1434	1391	0.970014	0.931058	2336	0.957916
8005ab2c-2d06-44a4-aaf6-c872114363c6	KX239042.1.1481	+	22	1482	0	1419	12	53	1407	1378	0.979389	0.936141	2346	0.950034
8df43ee4-1194-4a69-8ad1-ce438766ed6c	KJ600956.1.1510	+	3	1479	2	1472	51	57	1419	1309	0.922481	0.857236	1686	0.939735
56e9a9ce-c4ef-4c2f-bbdf-77104de27e9c	FPLS01048065.25.1530	+	21	1489	0	1436	21	53	1415	1340	0.946996	0.899933	2032	0.939575
e9e93c9b-ea45-4edc-a92c-4a3bdd933450	JQ684344.1.1492	+	21	1487	0	1418	15	63	1403	1377	0.981468	0.929777	2278	0.940349
d65e34b0-9c81-4278-81c7-27857e5728ec	GU117702.1.1444	+	1	1445	0	1454	57	47	1397	1311	0.938439	0.873418	1798	0.967452
37a822c8-8265-46e6-a223-b6c463336499	KJ454302.1.1510	+	16	1504	0	1511	70	47	1441	1374	0.953505	0.8819	1958	0.954305
451c5766-d52b-4d76-8b81-8b9a1ce47134	FJ529943.1.1487	+	21	1484	0	1479	49	33	1430	1325	0.926573	0.876323	1850	0.961668
0e5ed03e-5190-448d-af84-b24da2e7c745	AE015927.565000.566508	+	22	1474	0	1437	46	61	1391	1239	0.890726	0.827103	1392	0.921803
66e7feda-7e58-4a88-9206-eb4367b87bcf	LC026876.1.1444	+	1	1445	1	1443	33	35	1409	1356	0.962385	0.918077	2156	0.975762
7dec6628-19af-44e0-a185-7f4090ec57bd	FJ478511.1.1481	+	20	1479	0	1451	38	46	1413	1361	0.963199	0.909152	2114	0.954085
c72b65a9-f881-4fb7-8965-c01ce7038802	FR682708.1.1487	+	1	1475	0	1459	37	52	1422	1346	0.946554	0.890801	1949	0.956288
900571ae-55b7-4dce-8271-bedef2e98c41	EU979037.1.1497	+	22	1480	0	1417	26	67	1391	1332	0.957585	0.897574	2002	0.929192
41367a8e-c6c1-41c7-a38e-ff3937120036	FJ529943.1.1487	+	20	1485	0	1437	36	64	1401	1292	0.922198	0.860759	1664	0.942165
e55f16e4-0536-4194-ae5b-fb2a04094717	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2f7275fb-14ef-4005-9663-3f3a25270f83	GU138662.20427.21937	+	30	1358	2	1300	30	60	1268	1165	0.91877	0.857879	1526	0.839179
068a3456-87ff-430f-adaf-e70949d15721	AM936255.1.1357	-	1	616	107	702	10	30	585	576	0.984615	0.9216	936	0.471014
