read_id	alignment_genome	alignment_direction	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_num_insertions	alignment_num_deletions	alignment_num_aligned	alignment_num_correct	alignment_identity	alignment_accuracy	alignment_score	alignment_coverage
9669289b-da18-4cd4-9bdb-f2de0417d170	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
020e62c2-ebc9-49e3-ba61-949cff763bc7	Bacillus_subtilis_16S_9	+	265	1518	222	1445	35	65	1188	985	0.829125	0.764752	682	0.774446
f3c19b8c-2e55-4c50-bd42-bfbc3aa052e0	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
f0ce740e-7f26-4277-86ac-505d22831103	Bacillus_subtilis_16S_5	+	250	1518	169	1416	48	69	1199	1013	0.844871	0.769757	752	0.800401
aa1a7728-ebe5-4c8c-b885-8af536f98d47	Staphylococcus_aureus_16S_6	+	251	1431	215	1346	41	90	1090	926	0.849541	0.758395	670	0.716163
fc9006ed-d7d0-4b26-ad24-2075f0cf2287	Bacillus_subtilis_16S_5	+	29	200	0	164	13	20	151	138	0.913907	0.75	98	0.349537
9465b466-46e0-462e-a6a7-095e006f7a95	Salmonella_enterica_16S_4	+	235	1501	216	1482	64	64	1202	985	0.819468	0.740601	526	0.783572
9a7eca36-3470-4834-9d6e-104750ee6571	Bacillus_subtilis_16S_7	+	250	1518	212	1436	34	78	1190	1051	0.883193	0.80722	1070	0.78084
47f4346b-e823-4a97-9ab5-4b0cdba3651b	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
242be8bb-6528-4156-9518-3a187d0d7742	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
cfed80a0-bae8-4045-8c4d-d71f55cd8fe4	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4dcebee3-97a3-4b49-912d-ec97cf625795	Staphylococcus_aureus_16S_2	+	251	1427	223	1365	61	95	1081	915	0.846438	0.739693	566	0.70013
9bfd76f9-23fc-40c3-a857-b8100b8e69fa	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
d6a22492-7726-41c7-9f04-74f98d695014	Listeria_monocytogenes_16S_1	+	31	1517	7	1432	47	108	1378	1179	0.855588	0.76908	968	0.911979
17a0f25e-4b93-40bb-9048-30d7189b93a2	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
e0a1bfb4-202c-47c9-8be8-c1e8b31e5e68	Listeria_monocytogenes_16S_2	+	251	1421	224	1377	46	63	1107	933	0.842818	0.76727	684	0.713273
8c164543-0331-402f-b9ba-e6b59f80cead	Bacillus_subtilis_16S_7	+	250	1518	212	1474	58	64	1204	1034	0.858804	0.779789	840	0.773779
cd3a0c41-c597-46ed-bb63-a2f51ded9db8	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
56818a7c-9d95-4807-802b-5e7571ed1a5f	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3d969371-78e4-4b86-a79b-aac47a2449b5	Bacillus_subtilis_16S_2	+	29	1518	0	1443	51	97	1392	1184	0.850575	0.768831	904	0.918812
9e751b73-e3ac-498c-8dce-94b2baf74c17	Salmonella_enterica_16S_2	-	1038	1444	61	460	11	18	388	329	0.847938	0.788969	284	0.641322
142c090e-079c-4996-9910-e10dd026fef0	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
edd3632e-2fa9-4698-a68c-6279262c7b02	Enterococcus_faecalis_16S_3	+	242	1526	197	1459	45	67	1217	1030	0.846343	0.775019	840	0.794905
ad435794-b14e-4b99-8ec6-e7fa1bf4f792	Bacillus_subtilis_16S_9	+	240	1518	202	1441	38	77	1201	1016	0.845962	0.772036	766	0.792739
42f6c94d-255e-4a51-b143-371c2a2c605f	Bacillus_subtilis_16S_2	+	33	542	4	512	38	39	470	428	0.910638	0.78245	382	0.873606
55101bfb-b684-4afb-a8d8-39c7f6863688	Bacillus_subtilis_16S_6	+	33	1518	0	1458	34	61	1424	1222	0.858146	0.804477	1190	0.921087
a53d2d6d-4644-49fc-8e74-ed9dd4952750	Pseudomonas_aeruginosa_16S_4	+	87	1494	54	1412	46	95	1312	1149	0.875762	0.790778	1080	0.88172
acb1ba53-3600-46de-badc-d3fb58f8acf2	Pseudomonas_aeruginosa_16S_1	+	237	1494	244	1482	55	74	1183	977	0.825866	0.744665	552	0.775229
9ddc2b55-b167-4d04-b0e1-d6a0720be11d	Pseudomonas_aeruginosa_16S_3	+	21	1494	2	1460	62	77	1396	1189	0.851719	0.774593	916	0.928809
eba19af9-2b5e-4d72-a912-3f2d79c2df35	Enterococcus_faecalis_16S_1	+	326	1433	358	1419	55	101	1006	839	0.833996	0.722031	358	0.644046
f24c8e68-f10a-498e-ab64-b24e623e6db1	Bacillus_subtilis_16S_5	+	240	1518	209	1482	70	75	1203	1029	0.855362	0.763353	732	0.772144
4ad431f7-f2df-4fc9-9db1-03baa834b7fc	Staphylococcus_aureus_16S_6	+	234	1520	207	1471	45	67	1219	1026	0.841673	0.770849	776	0.791045
fa5bbe73-5233-4f4b-80e2-d0d97169a703	Salmonella_enterica_16S_1	+	235	1501	214	1426	64	118	1148	963	0.83885	0.72406	414	0.763806
1db1e456-4d64-45f4-aa7e-9248aa6e5825	Pseudomonas_aeruginosa_16S_4	+	223	620	172	546	12	35	362	330	0.911602	0.806846	358	0.614601
f7bd7d8c-230c-4457-8e0a-582638a8c042	Salmonella_enterica_16S_5	+	236	1501	221	1457	45	74	1191	979	0.821998	0.747328	576	0.776402
e5b6b325-06a2-470e-97a0-71751f50901f	Escherichia_coli_16S_1	+	241	1503	199	1482	60	39	1223	1056	0.863451	0.79879	1042	0.793126
65bb1ae1-0d6f-4fd0-a000-0d095b9f41ca	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
ac08ef8d-40af-4819-99c3-49669bb7b769	Staphylococcus_aureus_16S_3	+	250	1520	190	1414	46	92	1178	999	0.848048	0.759119	702	0.793266
f1d3084f-6ac9-488d-b5e5-88fcafea6bb6	Bacillus_subtilis_16S_5	+	321	1395	434	1491	48	65	1009	837	0.829534	0.745989	448	0.647625
e1c82f53-a69e-4f57-9eed-ca2cb40f8878	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
395f23a1-56d3-4035-989d-489b71ca1bf4	Pseudomonas_aeruginosa_16S_2	+	87	1489	52	1401	44	97	1305	1127	0.863602	0.779391	964	0.883548
485538fe-6c45-42f4-bd3d-95f826acebe2	Staphylococcus_aureus_16S_2	+	255	1448	203	1374	62	84	1109	894	0.806132	0.712351	272	0.732013
da182c0c-ffca-400a-af2f-c9aae85c07f2	Bacillus_subtilis_16S_10	+	33	1518	4	1519	97	67	1418	1218	0.858956	0.769912	928	0.910141
831008d2-f4d8-42cf-9399-2490964f99e7	Pseudomonas_aeruginosa_16S_1	+	19	523	0	503	24	25	479	404	0.843424	0.765152	270	0.508493
71646392-cedc-4d68-b4ec-be41736753de	Pseudomonas_aeruginosa_16S_2	+	23	1494	0	1417	60	114	1357	1176	0.866618	0.768125	964	0.912576
e32c8457-b6b2-4346-a3b4-1797265510a5	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
49062c39-b047-42b7-8b7b-9c6f1df69f55	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
107a50a3-ae0f-402e-8564-73c2c09bd9b4	Salmonella_enterica_16S_5	+	234	1501	208	1458	50	67	1200	977	0.814167	0.741838	572	0.783801
1efdfbcf-f773-4c7a-858b-d1311b0d056b	Bacillus_subtilis_16S_7	+	9	1513	86	1532	49	107	1397	1200	0.858984	0.772698	928	0.899549
ec656ed7-e38f-4520-85a8-6979d6e7c576	Bacillus_subtilis_16S_4	+	240	1518	208	1476	51	61	1217	1102	0.905505	0.829195	1289	0.782134
19ce04d8-682f-4f37-ba6d-f70a71c2a7a1	Salmonella_enterica_16S_2	+	18	986	108	1060	61	77	891	727	0.815937	0.706511	194	0.791297
f10a0452-2b50-4d1d-9fc2-27dae412222c	Enterococcus_faecalis_16S_1	+	106	1437	61	1396	86	82	1249	1038	0.831065	0.732534	532	0.800641
63c52307-6f2a-459d-9396-3e7dffd44441	Pseudomonas_aeruginosa_16S_2	+	223	425	185	399	13	1	201	185	0.920398	0.860465	242	0.178667
b019bcbd-0fea-4dd9-a981-daca9f32718c	Salmonella_enterica_16S_1	+	245	572	229	559	19	16	311	258	0.829582	0.745665	134	0.289842
88ba1eb3-ca3f-42ae-b356-d8e4f5534fef	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
f79dc9bc-921f-45e9-9c23-2615449c4d29	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
e9f863d6-42e7-49c6-9c72-19aad967127b	Salmonella_enterica_16S_1	+	239	1499	228	1492	85	81	1179	966	0.819338	0.718216	388	0.768579
a3154dd8-81f8-48b9-976a-350c4ef747da	Bacillus_subtilis_16S_3	-	12	425	93	509	18	15	398	330	0.829146	0.765661	250	0.416318
de373e7e-e349-48ff-bee1-6dc40f27ac9b	Pseudomonas_aeruginosa_16S_4	+	22	1399	3	1285	47	142	1235	1040	0.842105	0.730337	550	0.844156
a13345fc-2b3b-476b-b41c-4ea7cdda85e8	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
acda9193-b3a3-4823-aeb3-ef26749de90f	Staphylococcus_aureus_16S_2	+	305	1520	278	1469	38	62	1153	991	0.859497	0.790902	846	0.741003
7445577e-7dbd-4e95-ad1d-3b4c3600ab63	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14027d97-b616-4f14-bff7-527565e6a0b6	Bacillus_subtilis_16S_5	+	33	1425	5	1353	59	103	1289	1107	0.858805	0.762922	762	0.837013
7aeb4622-adcc-4695-9a4c-a90bdb4044fb	Salmonella_enterica_16S_6	+	25	1501	4	1470	100	110	1366	1146	0.838946	0.727157	560	0.890482
6dee7336-0b5d-4dab-a683-d01d71a5f1e6	Pseudomonas_aeruginosa_16S_1	+	21	1494	2	1508	79	46	1427	1257	0.880869	0.809923	1252	0.935125
c2be1fe3-1e52-4872-95a9-4a5c9fe7c8c4	Bacillus_subtilis_16S_6	+	279	978	253	919	22	55	644	548	0.850932	0.760055	394	0.574487
b67cb16e-8d4a-48df-9fa2-18f1535e8901	Bacillus_subtilis_16S_5	+	307	1417	252	1365	67	64	1046	858	0.820268	0.728972	442	0.680547
1eeae793-f8c9-4742-8ee3-5ebe458b8897	Salmonella_enterica_16S_5	+	138	612	111	570	20	35	439	357	0.813212	0.722672	184	0.407236
fd4d6d0c-c058-4181-9dbb-22fe7afde7ab	Bacillus_subtilis_16S_1	+	240	1422	207	1372	35	52	1130	942	0.833628	0.774035	714	0.737598
ab5504b5-5b61-4edf-ab35-89f52b9a502f	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9a4d0938-8d38-40f4-b26c-600295cdc5af	Pseudomonas_aeruginosa_16S_2	+	230	1398	208	1340	54	90	1078	900	0.834879	0.736498	464	0.720107
ab8e62de-4233-485f-b0a5-0461c8889618	Enterococcus_faecalis_16S_2	+	241	1526	205	1518	104	76	1209	1038	0.858561	0.7473	600	0.774008
5826fcce-f021-46b0-ac6b-fc6ccffe760c	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4d4714b0-dd4b-4e94-9433-f6d3891dd046	Listeria_monocytogenes_16S_3	+	102	1515	73	1477	59	68	1345	1134	0.843123	0.77038	870	0.867742
46be9f6c-898a-414c-8131-11a3d728c44a	Pseudomonas_aeruginosa_16S_2	+	22	1494	3	1427	54	102	1370	1175	0.857664	0.769987	946	0.904888
52d60929-b84a-457b-9e7c-3e2a5af2c10c	Bacillus_subtilis_16S_8	+	243	1425	227	1436	89	62	1120	945	0.84375	0.743509	528	0.71887
1e438f57-f4a0-419a-bd98-9842754f55b2	*	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
89e2c520-d378-42fb-acb6-e988155fbcd5	Bacillus_subtilis_16S_9	+	272	1441	221	1346	48	92	1077	903	0.83844	0.741988	486	0.713245
75b54090-edd6-4448-ac2d-aff64b77081d	Pseudomonas_aeruginosa_16S_2	+	229	1494	216	1456	51	76	1189	1009	0.848612	0.766717	740	0.779161
